icao,location,name,fullname,registration,downloadlink,imagelink,range,weight,cruise,maxpax,maxcargo,enabled,rank
,VIDP,,,,,,0,0,0,0,0,0,
A124,VIDP,AN-124,"Antonov AN-124 Ruslan",VT-SF61,,VT-SF61,0,0,0,10,140000,1,
A306,VRMM,A300-600R,"Airbus A300-600R",VT-SF22,,VT-SF22,4050,170000,35000,345,0,1,
A310,OAKB,A310-300,"Airbus A310-300",VT-SF23,,VT-SF23,5150,164000,41000,265,0,1,
A318,VIDP,A318-100,"Airbus A318-100",VT-SF01,,VT-SF01,3100,68000,41000,132,0,1,
A319,VIJP,A319-112,"Airbus A319-112",VT-SCA,,VT-SCA,3750,75500,41000,134,0,1,
A319,VIDP,A319-112,"Airbus A319-112",VT-SCB,,VT-SCB,3750,75500,41000,134,0,1,
A319,VIDP,A319-112,"Airbus A319-112",VT-SCC,,VT-SCC,3750,75500,41000,134,0,1,
A319,VIDP,A319-112,"Airbus A319-112",VT-SCF,,VT-SCF,3750,75500,41000,134,0,1,
A319,VICG,A319-112,"Airbus A319-112",VT-SCG,,VT-SCG,3750,75500,41000,134,0,1,
A319,VOML,A319-112,"Airbus A319-112",VT-SCH,,VT-SCH,3750,75500,41000,134,0,1,
A319,VIDP,A319-112,"Airbus A319-112",VT-SCI,,VT-SCI,3750,75500,41000,134,0,1,
A319,VIDP,A319-112,"Airbus A319-112",VT-SCK,,VT-SCK,3750,75500,41000,134,0,1,
A319,VIDP,A319-112,"Airbus A319-112",VT-SCL,,VT-SCL,3750,75500,41000,134,0,1,
A319,VIDP,A319-112,"Airbus A319-112",VT-SCM,,VT-SCM,3750,75500,41000,134,0,1,
A319,VIDP,A319-112,"Airbus A319-112",VT-SCN,,VT-SCN,3750,75500,41000,134,0,1,
A319,VOBL,A319-112,"Airbus A319-112",VT-SCO,,VT-SCO,3750,75500,41000,134,0,1,
A319,VARK,A319-112,"Airbus A319-112",VT-SCP,,VT-SCP,3750,75500,41000,134,0,1,
A319,VIDP,A319-112,"Airbus A319-112",VT-SCR,,VT-SCR,3750,75500,41000,134,0,1,
