code,flightnum,depicao,arricao,route,aircraft,flightlevel,distance,deptime,arrtime,flighttime,notes,price,flighttype,daysofweek,enabled," week1"," week2"," week3"," week4"
S2F,001,ELLX,LOWI,"(COPY PASTE ROUTE HERE)",VT-SF05,35000,249.438,15:00," 16:10"," 1"," "," 5000"," P"," 0123456"," 0"," 0123456"," 0123456"," 0123456"," 0123456"
AXB,0452,OMAA,VOCI,,VT-PPA,34000,1510.94,11:00," 16:00"," 5"," "," 8500"," V"," 0123456"," 1"," "," "," "," "
MSR,0456,VOGO,VOMM,"PABLU VETOL W101E SUSIK W121 OPAMO GUANI",K-5012,37000,396.782,"8.00 IST"," 8.40 IST"," 40"," "," 5000"," P"," 0123456"," 0"," 0123456"," 0123456"," 0123456"," 0123456"
MFC,1,VOMM,VOTP,"MMV KKP TTP",VT-ACO,7000,53.481,10:00,"         11:30"," 0.4","         Training flight added by Leonard Selvaraja."," 0","  "," 123456"," 1"," 123456"," 123456"," 123456"," 123456"
SEJ,1,VOMM,VCBI,SAGOR,VT-SYC,32000,349.884,18:40,"         20:00"," 1.2","         Expected Callsign: SPICEJET 001 (SEJ001). Please check: https://www.flightradar24.com/data/flights/sg1"," 2400","  "," 1234560"," 1","        ","        ","        ","        "
AIC,1,VOMM,WSSS,"OXENA GIRNA P574 PUGER R461 VKL A464 ARAMA",VT-ALW,37000,1580.83,06:00,"     10:25"," 4.4","         Expected Callsign: AIR INDIA 001 (AIC001). "," 9999","  "," 1234560"," 1","     ","     ","     ","     "
S2F,1,ELLX,LOWI,"(COPY PASTE ROUTE HERE)",VT-SF05,35000,249.438,15:00,"    16:10"," 1","    "," 5000","  "," 123456"," 0"," 123456"," 123456"," 123456"," 123456"
AIC,10,VIDP,VAAH,"REBON A474 IGOLU W65S JJP Q2 NIKOT W13S UUD",VT-EXE,38000,408.946,11:10,"         12:30"," 1.2","         Expected Callsign: AIRINDIA 010 (AIC010). Please check: https://www.flightradar24.com/data/flights/ai10"," 6000","  "," 123456"," 1","        ","        ","        ","        "
SEJ,1003,VOHS,VOBZ,BBZ,VT-SQD,23000,142.848,01:35,"         02:35"," 1","         Expected Callsign: SPICEJET 1003 (SEJ1003). Please check: https://www.flightradar24.com/data/flights/sg1003"," 1725","  "," 1234560"," 1","        ","        ","        ","        "
SEJ,"1004 (A)",VOBZ,VOHS,BBZ,VT-SQD,24000,142.848,02:55,"         03:50"," 0.55","         Expected Callsign: SPICEJET 1004 (SEJ1004). Please check: https://www.flightradar24.com/data/flights/sg1004"," 1725","  "," 1234560"," 1","        ","        ","        ","        "
SEJ,"1004 (B)",VOHS,VOPC,"BOPRI V4 MMV A465 AKMIL",VT-SQI,25000,327.649,04:15,"         05:55"," 1.4","         Expected Callsign: SPICEJET 1004 (SEJ1004). Please check: https://www.flightradar24.com/data/flights/sg1004"," 2325","  "," 1234560"," 1","        ","        ","        ","        "
SEJ,1005,VOPC,VOHS,"LEKAP T5 BIA Q22 VIRAM W57 SAKRO",VT-SQD,25000,327.649,06:15,"         07:50"," 1.35","         Expected Callsign: SPICEJET 1005 (SEJ1005). Please check: https://www.flightradar24.com/data/flights/sg1005"," 2325","  "," 1234560"," 1","        ","        ","        ","        "
SEJ,"1006 (1)",VOHS,VIKG,"LUTGU W19 BPL W20 PUKES P628 NIKOT",VT-SQB,25000,596.286,00:50,"         03:30"," 2.4","         Expected Callsign: SPICEJET 006 (SG1006). Please check: https://www.flightradar24.com/data/flights/sg1006"," 3200","  "," 123450"," 1","        ","        ","        ","        "
SEJ,"1006 (2)",VOHS,VIKG,"LUTGU W19 BPL W20 PUKES P628 NIKOT",VT-SQB,25000,596.286,00:55,"         03:30"," 2.35","         Expected Callsign: SPICEJET 006 (SG1006). Please check: https://www.flightradar24.com/data/flights/sg1006"," 3200","  "," 6"," 1","        ","        ","        ","        "
